image_path,question,answer
jpg/image_00010.jpg,Does this flower have pointed petals?,Yes
jpg/image_00010.jpg,Is this a Rose?,Yes
jpg/image_00010.jpg,Is this a Marigold?,No
jpg/image_00011.jpg,What is the name of this flower?,Rose
jpg/image_00011.jpg,What color are the petals?,Red
jpg/image_00011.jpg,How many petals are visible?,Five
jpg/image_00011.jpg,Does this flower have pointed petals?,Yes
jpg/image_00011.jpg,Is this a Rose?,Yes
jpg/image_00011.jpg,Is this a Lily?,No
jpg/image_00012.jpg,What is the name of this flower?,Rose
jpg/image_00012.jpg,What color are the petals?,Red
jpg/image_00012.jpg,How many petals are visible?,Five
jpg/image_00012.jpg,Does this flower have pointed petals?,Yes
jpg/image_00012.jpg,Is this a Rose?,Yes
jpg/image_00012.jpg,Is this a Lily?,No
jpg/image_00013.jpg,What is the name of this flower?,Rose
jpg/image_00013.jpg,What color are the petals?,Red
jpg/image_00013.jpg,How many petals are visible?,Five
jpg/image_00013.jpg,Does this flower have pointed petals?,Yes
jpg/image_00013.jpg,Is this a Rose?,Yes
jpg/image_00013.jpg,Is this a Sunflower?,No
jpg/image_00014.jpg,What is the name of this flower?,Rose
jpg/image_00014.jpg,What color are the petals?,Red
jpg/image_00014.jpg,How many petals are visible?,Five
jpg/image_00014.jpg,Does this flower have pointed petals?,Yes
jpg/image_00014.jpg,Is this a Rose?,Yes
jpg/image_00014.jpg,Is this a Daisy?,No
jpg/image_00015.jpg,What is the name of this flower?,Rose
jpg/image_00015.jpg,What color are the petals?,Red
jpg/image_00015.jpg,How many petals are visible?,Five
jpg/image_00015.jpg,Does this flower have pointed petals?,Yes
jpg/image_00015.jpg,Is this a Rose?,Yes
jpg/image_00015.jpg,Is this a Daisy?,No
jpg/image_00016.jpg,What is the name of this flower?,Rose
jpg/image_00016.jpg,What color are the petals?,Red
jpg/image_00016.jpg,How many petals are visible?,Five
jpg/image_00016.jpg,Does this flower have pointed petals?,Yes
jpg/image_00016.jpg,Is this a Rose?,Yes
jpg/image_00016.jpg,Is this a Lotus?,No
jpg/image_00017.jpg,What is the name of this flower?,Rose
jpg/image_00017.jpg,What color are the petals?,Red
jpg/image_00017.jpg,How many petals are visible?,Five
jpg/image_00017.jpg,Does this flower have pointed petals?,Yes
jpg/image_00017.jpg,Is this a Rose?,Yes
jpg/image_00017.jpg,Is this a Lily?,No
jpg/image_00018.jpg,What is the name of this flower?,Rose
jpg/image_00018.jpg,What color are the petals?,Red
jpg/image_00018.jpg,How many petals are visible?,Five
jpg/image_00018.jpg,Does this flower have pointed petals?,Yes
jpg/image_00018.jpg,Is this a Rose?,Yes
jpg/image_00018.jpg,Is this a Lotus?,No
jpg/image_00019.jpg,What is the name of this flower?,Rose
jpg/image_00019.jpg,What color are the petals?,Red
jpg/image_00019.jpg,How many petals are visible?,Five
jpg/image_00019.jpg,Does this flower have pointed petals?,Yes
jpg/image_00019.jpg,Is this a Rose?,Yes
jpg/image_00019.jpg,Is this a Daisy?,No
jpg/image_00020.jpg,What is the name of this flower?,Rose
jpg/image_00020.jpg,What color are the petals?,Red
jpg/image_00020.jpg,How many petals are visible?,Five
jpg/image_00020.jpg,Does this flower have pointed petals?,Yes
jpg/image_00020.jpg,Is this a Rose?,Yes
jpg/image_00020.jpg,Is this a Lotus?,No
jpg/image_00021.jpg,What is the name of this flower?,Rose
jpg/image_00021.jpg,What color are the petals?,Red
jpg/image_00021.jpg,How many petals are visible?,Five
jpg/image_00021.jpg,Does this flower have pointed petals?,Yes
jpg/image_00021.jpg,Is this a Rose?,Yes
jpg/image_00021.jpg,Is this a Marigold?,No
jpg/image_00022.jpg,What is the name of this flower?,Rose
jpg/image_00022.jpg,What color are the petals?,Red
jpg/image_00022.jpg,How many petals are visible?,Five
jpg/image_00022.jpg,Does this flower have pointed petals?,Yes
jpg/image_00022.jpg,Is this a Rose?,Yes
jpg/image_00022.jpg,Is this a Daisy?,No
jpg/image_00023.jpg,What is the name of this flower?,Rose
jpg/image_00023.jpg,What color are the petals?,Red
jpg/image_00023.jpg,How many petals are visible?,Five
jpg/image_00023.jpg,Does this flower have pointed petals?,Yes
jpg/image_00023.jpg,Is this a Rose?,Yes
jpg/image_00023.jpg,Is this a Hibiscus?,No
jpg/image_00024.jpg,What is the name of this flower?,Rose
jpg/image_00024.jpg,What color are the petals?,Red
jpg/image_00024.jpg,How many petals are visible?,Five
jpg/image_00024.jpg,Does this flower have pointed petals?,Yes
jpg/image_00024.jpg,Is this a Rose?,Yes
jpg/image_00024.jpg,Is this a Orchid?,No
jpg/image_00025.jpg,What is the name of this flower?,Rose
jpg/image_00025.jpg,What color are the petals?,Red
jpg/image_00025.jpg,How many petals are visible?,Five
jpg/image_00025.jpg,Does this flower have pointed petals?,Yes
jpg/image_00025.jpg,Is this a Rose?,Yes
jpg/image_00025.jpg,Is this a Lily?,No
jpg/image_00026.jpg,What is the name of this flower?,Rose
jpg/image_00026.jpg,What color are the petals?,Red
jpg/image_00026.jpg,How many petals are visible?,Five
jpg/image_00026.jpg,Does this flower have pointed petals?,Yes
jpg/image_00026.jpg,Is this a Rose?,Yes
jpg/image_00026.jpg,Is this a Tulip?,No
jpg/image_00027.jpg,What is the name of this flower?,Rose
jpg/image_00027.jpg,What color are the petals?,Red
jpg/image_00027.jpg,How many petals are visible?,Five
jpg/image_00027.jpg,Does this flower have pointed petals?,Yes
jpg/image_00027.jpg,Is this a Rose?,Yes
jpg/image_00027.jpg,Is this a Marigold?,No
jpg/image_00028.jpg,What is the name of this flower?,Rose
jpg/image_00028.jpg,What color are the petals?,Red
jpg/image_00028.jpg,How many petals are visible?,Five
jpg/image_00028.jpg,Does this flower have pointed petals?,Yes
jpg/image_00028.jpg,Is this a Rose?,Yes
jpg/image_00028.jpg,Is this a Daffodil?,No
jpg/image_00029.jpg,What is the name of this flower?,Rose
jpg/image_00029.jpg,What color are the petals?,Red
jpg/image_00029.jpg,How many petals are visible?,Five
jpg/image_00029.jpg,Does this flower have pointed petals?,Yes
jpg/image_00029.jpg,Is this a Rose?,Yes
jpg/image_00029.jpg,Is this a Orchid?,No
jpg/image_00030.jpg,What is the name of this flower?,Rose
jpg/image_00030.jpg,What color are the petals?,Red
jpg/image_00030.jpg,How many petals are visible?,Five
jpg/image_00030.jpg,Does this flower have pointed petals?,Yes
jpg/image_00030.jpg,Is this a Rose?,Yes
jpg/image_00030.jpg,Is this a Tulip?,No
jpg/image_00031.jpg,What is the name of this flower?,Rose
jpg/image_00031.jpg,What color are the petals?,Red
jpg/image_00031.jpg,How many petals are visible?,Five
jpg/image_00031.jpg,Does this flower have pointed petals?,Yes
jpg/image_00031.jpg,Is this a Rose?,Yes
jpg/image_00031.jpg,Is this a Daisy?,No
jpg/image_00032.jpg,What is the name of this flower?,Rose
jpg/image_00032.jpg,What color are the petals?,Red
jpg/image_00032.jpg,How many petals are visible?,Five
jpg/image_00032.jpg,Does this flower have pointed petals?,Yes
jpg/image_00032.jpg,Is this a Rose?,Yes
jpg/image_00032.jpg,Is this a Daffodil?,No
jpg/image_00033.jpg,What is the name of this flower?,Rose
jpg/image_00033.jpg,What color are the petals?,Red
jpg/image_00033.jpg,How many petals are visible?,Five
jpg/image_00033.jpg,Does this flower have pointed petals?,Yes
jpg/image_00033.jpg,Is this a Rose?,Yes
jpg/image_00033.jpg,Is this a Sunflower?,No
jpg/image_00034.jpg,What is the name of this flower?,Rose
jpg/image_00034.jpg,What color are the petals?,Red
jpg/image_00034.jpg,How many petals are visible?,Five
jpg/image_00034.jpg,Does this flower have pointed petals?,Yes
jpg/image_00034.jpg,Is this a Rose?,Yes
jpg/image_00034.jpg,Is this a Sunflower?,No
jpg/image_00035.jpg,What is the name of this flower?,Rose
jpg/image_00035.jpg,What color are the petals?,Red
jpg/image_00035.jpg,How many petals are visible?,Five
jpg/image_00035.jpg,Does this flower have pointed petals?,Yes
jpg/image_00035.jpg,Is this a Rose?,Yes
jpg/image_00035.jpg,Is this a Marigold?,No
jpg/image_00036.jpg,What is the name of this flower?,Rose
jpg/image_00036.jpg,What color are the petals?,Red
jpg/image_00036.jpg,How many petals are visible?,Five
jpg/image_00036.jpg,Does this flower have pointed petals?,Yes
jpg/image_00036.jpg,Is this a Rose?,Yes
jpg/image_00036.jpg,Is this a Sunflower?,No
jpg/image_00037.jpg,What is the name of this flower?,Rose
jpg/image_00037.jpg,What color are the petals?,Red
jpg/image_00037.jpg,How many petals are visible?,Five
jpg/image_00037.jpg,Does this flower have pointed petals?,Yes
jpg/image_00037.jpg,Is this a Rose?,Yes
jpg/image_00037.jpg,Is this a Daffodil?,No
jpg/image_00038.jpg,What is the name of this flower?,Rose
jpg/image_00038.jpg,What color are the petals?,Red
jpg/image_00038.jpg,How many petals are visible?,Five
jpg/image_00038.jpg,Does this flower have pointed petals?,Yes
jpg/image_00038.jpg,Is this a Rose?,Yes
jpg/image_00038.jpg,Is this a Daffodil?,No
jpg/image_00039.jpg,What is the name of this flower?,Rose
jpg/image_00039.jpg,What color are the petals?,Red
jpg/image_00039.jpg,How many petals are visible?,Five
jpg/image_00039.jpg,Does this flower have pointed petals?,Yes
jpg/image_00039.jpg,Is this a Rose?,Yes
jpg/image_00039.jpg,Is this a Orchid?,No
jpg/image_00040.jpg,What is the name of this flower?,Rose
jpg/image_00040.jpg,What color are the petals?,Red
jpg/image_00040.jpg,How many petals are visible?,Five
jpg/image_00040.jpg,Does this flower have pointed petals?,Yes
jpg/image_00040.jpg,Is this a Rose?,Yes
jpg/image_00040.jpg,Is this a Lily?,No
jpg/image_00041.jpg,What is the name of this flower?,Rose
jpg/image_00041.jpg,What color are the petals?,Red
jpg/image_00041.jpg,How many petals are visible?,Five
jpg/image_00041.jpg,Does this flower have pointed petals?,Yes
jpg/image_00041.jpg,Is this a Rose?,Yes
jpg/image_00041.jpg,Is this a Hibiscus?,No
jpg/image_00042.jpg,What is the name of this flower?,Rose
jpg/image_00042.jpg,What color are the petals?,Red
jpg/image_00042.jpg,How many petals are visible?,Five
jpg/image_00042.jpg,Does this flower have pointed petals?,Yes
jpg/image_00042.jpg,Is this a Rose?,Yes
jpg/image_00042.jpg,Is this a Lotus?,No
jpg/image_00043.jpg,What is the name of this flower?,Rose
jpg/image_00043.jpg,What color are the petals?,Red
jpg/image_00043.jpg,How many petals are visible?,Five
jpg/image_00043.jpg,Does this flower have pointed petals?,Yes
jpg/image_00043.jpg,Is this a Rose?,Yes
jpg/image_00043.jpg,Is this a Sunflower?,No
jpg/image_00044.jpg,What is the name of this flower?,Rose
jpg/image_00044.jpg,What color are the petals?,Red
jpg/image_00044.jpg,How many petals are visible?,Five
jpg/image_00044.jpg,Does this flower have pointed petals?,Yes
jpg/image_00044.jpg,Is this a Rose?,Yes
jpg/image_00044.jpg,Is this a Marigold?,No
jpg/image_00045.jpg,What is the name of this flower?,Rose
jpg/image_00045.jpg,What color are the petals?,Red
jpg/image_00045.jpg,How many petals are visible?,Five
jpg/image_00045.jpg,Does this flower have pointed petals?,Yes
jpg/image_00045.jpg,Is this a Rose?,Yes
jpg/image_00045.jpg,Is this a Sunflower?,No
jpg/image_00046.jpg,What is the name of this flower?,Rose
jpg/image_00046.jpg,What color are the petals?,Red
jpg/image_00046.jpg,How many petals are visible?,Five
jpg/image_00046.jpg,Does this flower have pointed petals?,Yes
jpg/image_00046.jpg,Is this a Rose?,Yes
jpg/image_00046.jpg,Is this a Lotus?,No
jpg/image_00047.jpg,What is the name of this flower?,Rose
jpg/image_00047.jpg,What color are the petals?,Red
jpg/image_00047.jpg,How many petals are visible?,Five
jpg/image_00047.jpg,Does this flower have pointed petals?,Yes
jpg/image_00047.jpg,Is this a Rose?,Yes
jpg/image_00047.jpg,Is this a Orchid?,No
jpg/image_00048.jpg,What is the name of this flower?,Rose
jpg/image_00048.jpg,What color are the petals?,Red
jpg/image_00048.jpg,How many petals are visible?,Five
jpg/image_00048.jpg,Does this flower have pointed petals?,Yes
jpg/image_00048.jpg,Is this a Rose?,Yes
jpg/image_00048.jpg,Is this a Daffodil?,No
jpg/image_00049.jpg,What is the name of this flower?,Rose
jpg/image_00049.jpg,What color are the petals?,Red
jpg/image_00049.jpg,How many petals are visible?,Five
jpg/image_00049.jpg,Does this flower have pointed petals?,Yes
jpg/image_00049.jpg,Is this a Rose?,Yes
jpg/image_00049.jpg,Is this a Daisy?,No
jpg/image_00050.jpg,What is the name of this flower?,Rose
jpg/image_00050.jpg,What color are the petals?,Red
jpg/image_00050.jpg,How many petals are visible?,Five
jpg/image_00050.jpg,Does this flower have pointed petals?,Yes
jpg/image_00050.jpg,Is this a Rose?,Yes
jpg/image_00050.jpg,Is this a Sunflower?,No
jpg/image_00051.jpg,What is the name of this flower?,Rose
jpg/image_00051.jpg,What color are the petals?,Red
jpg/image_00051.jpg,How many petals are visible?,Five
jpg/image_00051.jpg,Does this flower have pointed petals?,Yes
jpg/image_00051.jpg,Is this a Rose?,Yes
jpg/image_00051.jpg,Is this a Lily?,No
jpg/image_00052.jpg,What is the name of this flower?,Rose
jpg/image_00052.jpg,What color are the petals?,Red
jpg/image_00052.jpg,How many petals are visible?,Five
jpg/image_00052.jpg,Does this flower have pointed petals?,Yes
jpg/image_00052.jpg,Is this a Rose?,Yes
jpg/image_00052.jpg,Is this a Daisy?,No
jpg/image_00053.jpg,What is the name of this flower?,Rose
jpg/image_00053.jpg,What color are the petals?,Red
jpg/image_00053.jpg,How many petals are visible?,Five
jpg/image_00053.jpg,Does this flower have pointed petals?,Yes
jpg/image_00053.jpg,Is this a Rose?,Yes
jpg/image_00053.jpg,Is this a Orchid?,No
jpg/image_00054.jpg,What is the name of this flower?,Rose
jpg/image_00054.jpg,What color are the petals?,Red
jpg/image_00054.jpg,How many petals are visible?,Five
jpg/image_00054.jpg,Does this flower have pointed petals?,Yes
jpg/image_00054.jpg,Is this a Rose?,Yes
jpg/image_00054.jpg,Is this a Sunflower?,No
jpg/image_00055.jpg,What is the name of this flower?,Rose
jpg/image_00055.jpg,What color are the petals?,Red
jpg/image_00055.jpg,How many petals are visible?,Five
jpg/image_00055.jpg,Does this flower have pointed petals?,Yes
jpg/image_00055.jpg,Is this a Rose?,Yes
jpg/image_00055.jpg,Is this a Daisy?,No
jpg/image_00056.jpg,What is the name of this flower?,Rose
jpg/image_00056.jpg,What color are the petals?,Red
jpg/image_00056.jpg,How many petals are visible?,Five
jpg/image_00056.jpg,Does this flower have pointed petals?,Yes
jpg/image_00056.jpg,Is this a Rose?,Yes
jpg/image_00056.jpg,Is this a Sunflower?,No
jpg/image_00057.jpg,What is the name of this flower?,Rose
jpg/image_00057.jpg,What color are the petals?,Red
jpg/image_00057.jpg,How many petals are visible?,Five
jpg/image_00057.jpg,Does this flower have pointed petals?,Yes
jpg/image_00057.jpg,Is this a Rose?,Yes
jpg/image_00057.jpg,Is this a Marigold?,No
jpg/image_00058.jpg,What is the name of this flower?,Rose
jpg/image_00058.jpg,What color are the petals?,Red
jpg/image_00058.jpg,How many petals are visible?,Five
jpg/image_00058.jpg,Does this flower have pointed petals?,Yes
jpg/image_00058.jpg,Is this a Rose?,Yes
jpg/image_00058.jpg,Is this a Orchid?,No
jpg/image_00059.jpg,What is the name of this flower?,Rose
jpg/image_00059.jpg,What color are the petals?,Red
jpg/image_00059.jpg,How many petals are visible?,Five
jpg/image_00059.jpg,Does this flower have pointed petals?,Yes
jpg/image_00059.jpg,Is this a Rose?,Yes
jpg/image_00059.jpg,Is this a Hibiscus?,No
jpg/image_00060.jpg,What is the name of this flower?,Rose
jpg/image_00060.jpg,What color are the petals?,Red
jpg/image_00060.jpg,How many petals are visible?,Five
jpg/image_00060.jpg,Does this flower have pointed petals?,Yes
jpg/image_00060.jpg,Is this a Rose?,Yes
jpg/image_00060.jpg,Is this a Daffodil?,No
jpg/image_00061.jpg,What is the name of this flower?,Rose
jpg/image_00061.jpg,What color are the petals?,Red
jpg/image_00061.jpg,How many petals are visible?,Five
jpg/image_00061.jpg,Does this flower have pointed petals?,Yes
jpg/image_00061.jpg,Is this a Rose?,Yes
jpg/image_00061.jpg,Is this a Tulip?,No
jpg/image_00062.jpg,What is the name of this flower?,Rose
jpg/image_00062.jpg,What color are the petals?,Red
jpg/image_00062.jpg,How many petals are visible?,Five
jpg/image_00062.jpg,Does this flower have pointed petals?,Yes
jpg/image_00062.jpg,Is this a Rose?,Yes
jpg/image_00062.jpg,Is this a Daffodil?,No
jpg/image_00063.jpg,What is the name of this flower?,Rose
jpg/image_00063.jpg,What color are the petals?,Red
jpg/image_00063.jpg,How many petals are visible?,Five
jpg/image_00063.jpg,Does this flower have pointed petals?,Yes
jpg/image_00063.jpg,Is this a Rose?,Yes
jpg/image_00063.jpg,Is this a Daffodil?,No
jpg/image_00064.jpg,What is the name of this flower?,Rose
jpg/image_00064.jpg,What color are the petals?,Red
jpg/image_00064.jpg,How many petals are visible?,Five
jpg/image_00064.jpg,Does this flower have pointed petals?,Yes
jpg/image_00064.jpg,Is this a Rose?,Yes
jpg/image_00064.jpg,Is this a Daisy?,No
jpg/image_00065.jpg,What is the name of this flower?,Rose
jpg/image_00065.jpg,What color are the petals?,Red
jpg/image_00065.jpg,How many petals are visible?,Five
jpg/image_00065.jpg,Does this flower have pointed petals?,Yes
jpg/image_00065.jpg,Is this a Rose?,Yes
jpg/image_00065.jpg,Is this a Orchid?,No
jpg/image_00066.jpg,What is the name of this flower?,Rose
jpg/image_00066.jpg,What color are the petals?,Red
jpg/image_00066.jpg,How many petals are visible?,Five
jpg/image_00066.jpg,Does this flower have pointed petals?,Yes
jpg/image_00066.jpg,Is this a Rose?,Yes
jpg/image_00066.jpg,Is this a Sunflower?,No
jpg/image_00067.jpg,What is the name of this flower?,Rose
jpg/image_00067.jpg,What color are the petals?,Red
jpg/image_00067.jpg,How many petals are visible?,Five
jpg/image_00067.jpg,Does this flower have pointed petals?,Yes
jpg/image_00067.jpg,Is this a Rose?,Yes
jpg/image_00067.jpg,Is this a Tulip?,No
jpg/image_00068.jpg,What is the name of this flower?,Rose
jpg/image_00068.jpg,What color are the petals?,Red
jpg/image_00068.jpg,How many petals are visible?,Five
jpg/image_00068.jpg,Does this flower have pointed petals?,Yes
jpg/image_00068.jpg,Is this a Rose?,Yes
jpg/image_00068.jpg,Is this a Lotus?,No
jpg/image_00069.jpg,What is the name of this flower?,Rose
jpg/image_00069.jpg,What color are the petals?,Red
jpg/image_00069.jpg,How many petals are visible?,Five
jpg/image_00069.jpg,Does this flower have pointed petals?,Yes
jpg/image_00069.jpg,Is this a Rose?,Yes
jpg/image_00069.jpg,Is this a Daisy?,No
jpg/image_00070.jpg,What is the name of this flower?,Rose
jpg/image_00070.jpg,What color are the petals?,Red
jpg/image_00070.jpg,How many petals are visible?,Five
jpg/image_00070.jpg,Does this flower have pointed petals?,Yes
jpg/image_00070.jpg,Is this a Rose?,Yes
jpg/image_00070.jpg,Is this a Tulip?,No
jpg/image_00071.jpg,What is the name of this flower?,Rose
jpg/image_00071.jpg,What color are the petals?,Red
jpg/image_00071.jpg,How many petals are visible?,Five
jpg/image_00071.jpg,Does this flower have pointed petals?,Yes
jpg/image_00071.jpg,Is this a Rose?,Yes
jpg/image_00071.jpg,Is this a Hibiscus?,No
jpg/image_00072.jpg,What is the name of this flower?,Rose
jpg/image_00072.jpg,What color are the petals?,Red
jpg/image_00072.jpg,How many petals are visible?,Five
jpg/image_00072.jpg,Does this flower have pointed petals?,Yes
jpg/image_00072.jpg,Is this a Rose?,Yes
jpg/image_00072.jpg,Is this a Marigold?,No
jpg/image_00073.jpg,What is the name of this flower?,Rose
jpg/image_00073.jpg,What color are the petals?,Red
jpg/image_00073.jpg,How many petals are visible?,Five
jpg/image_00073.jpg,Does this flower have pointed petals?,Yes
jpg/image_00073.jpg,Is this a Rose?,Yes
jpg/image_00073.jpg,Is this a Orchid?,No
jpg/image_00074.jpg,What is the name of this flower?,Rose
jpg/image_00074.jpg,What color are the petals?,Red
jpg/image_00074.jpg,How many petals are visible?,Five
jpg/image_00074.jpg,Does this flower have pointed petals?,Yes
jpg/image_00074.jpg,Is this a Rose?,Yes
jpg/image_00074.jpg,Is this a Lotus?,No
jpg/image_00075.jpg,What is the name of this flower?,Rose
jpg/image_00075.jpg,What color are the petals?,Red
jpg/image_00075.jpg,How many petals are visible?,Five
jpg/image_00075.jpg,Does this flower have pointed petals?,Yes
jpg/image_00075.jpg,Is this a Rose?,Yes
jpg/image_00075.jpg,Is this a Daisy?,No
jpg/image_00076.jpg,What is the name of this flower?,Rose
jpg/image_00076.jpg,What color are the petals?,Red
jpg/image_00076.jpg,How many petals are visible?,Five
jpg/image_00076.jpg,Does this flower have pointed petals?,Yes
jpg/image_00076.jpg,Is this a Rose?,Yes
jpg/image_00076.jpg,Is this a Daffodil?,No
jpg/image_00077.jpg,What is the name of this flower?,Rose
jpg/image_00077.jpg,What color are the petals?,Red
jpg/image_00077.jpg,How many petals are visible?,Five
jpg/image_00077.jpg,Does this flower have pointed petals?,Yes
jpg/image_00077.jpg,Is this a Rose?,Yes
jpg/image_00077.jpg,Is this a Lily?,No
jpg/image_00078.jpg,What is the name of this flower?,Rose
jpg/image_00078.jpg,What color are the petals?,Red
jpg/image_00078.jpg,How many petals are visible?,Five
jpg/image_00078.jpg,Does this flower have pointed petals?,Yes
jpg/image_00078.jpg,Is this a Rose?,Yes
jpg/image_00078.jpg,Is this a Daisy?,No
jpg/image_00079.jpg,What is the name of this flower?,Rose
jpg/image_00079.jpg,What color are the petals?,Red
jpg/image_00079.jpg,How many petals are visible?,Five
jpg/image_00079.jpg,Does this flower have pointed petals?,Yes
jpg/image_00079.jpg,Is this a Rose?,Yes
jpg/image_00079.jpg,Is this a Lily?,No
jpg/image_00080.jpg,What is the name of this flower?,Rose
jpg/image_00080.jpg,What color are the petals?,Red
jpg/image_00080.jpg,How many petals are visible?,Five
jpg/image_00080.jpg,Does this flower have pointed petals?,Yes
jpg/image_00080.jpg,Is this a Rose?,Yes
jpg/image_00080.jpg,Is this a Daffodil?,No
jpg/image_00081.jpg,What is the name of this flower?,Rose
jpg/image_00081.jpg,What color are the petals?,Red
jpg/image_00081.jpg,How many petals are visible?,Five
jpg/image_00081.jpg,Does this flower have pointed petals?,Yes
jpg/image_00081.jpg,Is this a Rose?,Yes
jpg/image_00081.jpg,Is this a Marigold?,No
jpg/image_00082.jpg,What is the name of this flower?,Rose
jpg/image_00082.jpg,What color are the petals?,Red
jpg/image_00082.jpg,How many petals are visible?,Five
jpg/image_00082.jpg,Does this flower have pointed petals?,Yes
jpg/image_00082.jpg,Is this a Rose?,Yes
jpg/image_00082.jpg,Is this a Orchid?,No
jpg/image_00083.jpg,What is the name of this flower?,Rose
jpg/image_00083.jpg,What color are the petals?,Red
jpg/image_00083.jpg,How many petals are visible?,Five
jpg/image_00083.jpg,Does this flower have pointed petals?,Yes
jpg/image_00083.jpg,Is this a Rose?,Yes
jpg/image_00083.jpg,Is this a Sunflower?,No
jpg/image_00084.jpg,What is the name of this flower?,Rose
jpg/image_00084.jpg,What color are the petals?,Red
jpg/image_00084.jpg,How many petals are visible?,Five
jpg/image_00084.jpg,Does this flower have pointed petals?,Yes
jpg/image_00084.jpg,Is this a Rose?,Yes
jpg/image_00084.jpg,Is this a Daisy?,No
jpg/image_00085.jpg,What is the name of this flower?,Rose
jpg/image_00085.jpg,What color are the petals?,Red
jpg/image_00085.jpg,How many petals are visible?,Five
jpg/image_00085.jpg,Does this flower have pointed petals?,Yes
jpg/image_00085.jpg,Is this a Rose?,Yes
jpg/image_00085.jpg,Is this a Daffodil?,No
jpg/image_00086.jpg,What is the name of this flower?,Rose
jpg/image_00086.jpg,What color are the petals?,Red
jpg/image_00086.jpg,How many petals are visible?,Five
jpg/image_00086.jpg,Does this flower have pointed petals?,Yes
jpg/image_00086.jpg,Is this a Rose?,Yes
jpg/image_00086.jpg,Is this a Daisy?,No
jpg/image_00087.jpg,What is the name of this flower?,Rose
jpg/image_00087.jpg,What color are the petals?,Red
jpg/image_00087.jpg,How many petals are visible?,Five
jpg/image_00087.jpg,Does this flower have pointed petals?,Yes
jpg/image_00087.jpg,Is this a Rose?,Yes
jpg/image_00087.jpg,Is this a Hibiscus?,No
jpg/image_00088.jpg,What is the name of this flower?,Rose
jpg/image_00088.jpg,What color are the petals?,Red
jpg/image_00088.jpg,How many petals are visible?,Five
jpg/image_00088.jpg,Does this flower have pointed petals?,Yes
jpg/image_00088.jpg,Is this a Rose?,Yes
jpg/image_00088.jpg,Is this a Marigold?,No
jpg/image_00089.jpg,What is the name of this flower?,Rose
jpg/image_00089.jpg,What color are the petals?,Red
jpg/image_00089.jpg,How many petals are visible?,Five
jpg/image_00089.jpg,Does this flower have pointed petals?,Yes
jpg/image_00089.jpg,Is this a Rose?,Yes
